text,label
Please unlock user 353.,lockout
I cannot reset my password for company 8807.,lockout
There is an unexpected charge of $100 on my invoice.,billing
Please add a API to the platform.,feature
I need a refund for my subscription.,billing
I forgot my password and the reset link is expired.,lockout
Data is not loading on the analytics widget.,bug
I want to request a new user management for our team.,feature
I am locked out of my account.,lockout
Is there a way to export data to Jira?,feature
I need a refund for my subscription.,billing
Company 6262 is experiencing severe latency on user management.,bug
I forgot my password and the reset link is expired.,lockout
There is an unexpected charge of $250 on my invoice.,billing
"Every time I click save, it throws a timeout error.",bug
The dashboard is completely broken.,bug
Company 2063 is experiencing severe latency on user management.,bug
I am getting a 404 error on the user management page.,bug
My 2FA is not working.,lockout
Can you implement an integration with Slack?,feature
My 2FA is not working.,lockout
I want to request a new reports for our team.,feature
My 2FA is not working.,lockout
My 2FA is not working.,lockout
The dashboard is completely broken.,bug
I need a refund for my subscription.,billing
Company 1829 is experiencing severe latency on analytics.,bug
I cannot reset my password for company 6544.,lockout
I forgot my password and the reset link is expired.,lockout
I want to request a new analytics for our team.,feature
Company 5670 is experiencing severe latency on analytics.,bug
There is an unexpected charge of $10 on my invoice.,billing
Can you implement an integration with Jira?,feature
Data is not loading on the API widget.,bug
I need a refund for my subscription.,billing
How do I update my billing info for company 5061?,billing
Please unlock user 605.,lockout
"Every time I click save, it throws a 500 error.",bug
My 2FA is not working.,lockout
My 2FA is not working.,lockout
How do I update my billing info for company 9702?,billing
The dashboard is completely broken.,bug
My credit card was charged $10 twice.,billing
"Every time I click save, it throws a 500 error.",bug
Is there a way to export data to Slack?,feature
I want to request a new analytics for our team.,feature
It would be great if we could have a dark mode.,feature
Is there a way to export data to Teams?,feature
I cannot reset my password for company 3200.,lockout
Is there a way to export data to Slack?,feature
I am getting a 404 error on the user management page.,bug
I need a refund for my subscription.,billing
Please unlock user 807.,lockout
"Every time I click save, it throws a 500 error.",bug
The dashboard is completely broken.,bug
Data is not loading on the user management widget.,bug
Please add a reports to the platform.,feature
The dashboard is completely broken.,bug
There is an unexpected charge of $250 on my invoice.,billing
My credit card was charged $10 twice.,billing
Please add a reports to the platform.,feature
I forgot my password and the reset link is expired.,lockout
Please unlock user 604.,lockout
"Every time I click save, it throws a 404 error.",bug
The dashboard is completely broken.,bug
I want to request a new reports for our team.,feature
How do I update my billing info for company 4441?,billing
I forgot my password and the reset link is expired.,lockout
Data is not loading on the analytics widget.,bug
I need a refund for my subscription.,billing
I want to request a new user management for our team.,feature
How do I update my billing info for company 4986?,billing
My 2FA is not working.,lockout
There is an unexpected charge of $49.99 on my invoice.,billing
There is an unexpected charge of $49.99 on my invoice.,billing
My credit card was charged $100 twice.,billing
Company 6890 is experiencing severe latency on analytics.,bug
Please add a API to the platform.,feature
Please add a reports to the platform.,feature
Can you implement an integration with Jira?,feature
Please add a API to the platform.,feature
My credit card was charged $250 twice.,billing
I need a refund for my subscription.,billing
There is an unexpected charge of $250 on my invoice.,billing
Can you implement an integration with Salesforce?,feature
I am locked out of my account.,lockout
I forgot my password and the reset link is expired.,lockout
I am getting a 403 error on the API page.,bug
Company 2865 is experiencing severe latency on user management.,bug
Cancel my subscription immediately.,billing
I am locked out of my account.,lockout
My 2FA is not working.,lockout
Data is not loading on the user management widget.,bug
Data is not loading on the user management widget.,bug
I forgot my password and the reset link is expired.,lockout
I forgot my password and the reset link is expired.,lockout
My 2FA is not working.,lockout
I cannot reset my password for company 8359.,lockout
I need a refund for my subscription.,billing
Please unlock user 463.,lockout
There is an unexpected charge of $100 on my invoice.,billing
Can you implement an integration with Jira?,feature
How do I update my billing info for company 6016?,billing
There is an unexpected charge of $100 on my invoice.,billing
Cancel my subscription immediately.,billing
Company 6482 is experiencing severe latency on analytics.,bug
I am getting a 403 error on the analytics page.,bug
My 2FA is not working.,lockout
Company 6060 is experiencing severe latency on user management.,bug
Company 5239 is experiencing severe latency on analytics.,bug
I want to request a new user management for our team.,feature
Please add a reports to the platform.,feature
My credit card was charged $49.99 twice.,billing
How do I update my billing info for company 4752?,billing
Please unlock user 616.,lockout
My credit card was charged $49.99 twice.,billing
It would be great if we could have a dark mode.,feature
Please unlock user 322.,lockout
"Every time I click save, it throws a 404 error.",bug
"Every time I click save, it throws a timeout error.",bug
Data is not loading on the API widget.,bug
Company 9898 is experiencing severe latency on user management.,bug
I need a refund for my subscription.,billing
I cannot reset my password for company 2728.,lockout
"Every time I click save, it throws a 500 error.",bug
Data is not loading on the analytics widget.,bug
I want to request a new analytics for our team.,feature
My credit card was charged $10 twice.,billing
I am getting a 500 error on the reports page.,bug
I forgot my password and the reset link is expired.,lockout
Please unlock user 284.,lockout
The dashboard is completely broken.,bug
How do I update my billing info for company 6529?,billing
I forgot my password and the reset link is expired.,lockout
The dashboard is completely broken.,bug
Is there a way to export data to Jira?,feature
Please unlock user 289.,lockout
I am getting a 403 error on the reports page.,bug
I am locked out of my account.,lockout
It would be great if we could have a dark mode.,feature
The dashboard is completely broken.,bug
Please add a analytics to the platform.,feature
I want to request a new user management for our team.,feature
"Every time I click save, it throws a timeout error.",bug
I need a refund for my subscription.,billing
It would be great if we could have a dark mode.,feature
Cancel my subscription immediately.,billing
Data is not loading on the analytics widget.,bug
I forgot my password and the reset link is expired.,lockout
Is there a way to export data to Teams?,feature
Please unlock user 549.,lockout
I need a refund for my subscription.,billing
Please unlock user 474.,lockout
I cannot reset my password for company 1057.,lockout
Can you implement an integration with Slack?,feature
Can you implement an integration with Salesforce?,feature
I am locked out of my account.,lockout
I forgot my password and the reset link is expired.,lockout
Is there a way to export data to Salesforce?,feature
My 2FA is not working.,lockout
I am getting a timeout error on the API page.,bug
Please unlock user 628.,lockout
Company 5216 is experiencing severe latency on user management.,bug
I am getting a 500 error on the reports page.,bug
Data is not loading on the API widget.,bug
There is an unexpected charge of $49.99 on my invoice.,billing
There is an unexpected charge of $10 on my invoice.,billing
I am getting a timeout error on the user management page.,bug
Data is not loading on the API widget.,bug
Can you implement an integration with Teams?,feature
The dashboard is completely broken.,bug
Please unlock user 381.,lockout
I need a refund for my subscription.,billing
I am getting a 403 error on the reports page.,bug
Company 8564 is experiencing severe latency on API.,bug
I am locked out of my account.,lockout
My credit card was charged $100 twice.,billing
I cannot reset my password for company 8993.,lockout
I cannot reset my password for company 1706.,lockout
Can you implement an integration with Jira?,feature
My 2FA is not working.,lockout
It would be great if we could have a dark mode.,feature
Cancel my subscription immediately.,billing
I cannot reset my password for company 2753.,lockout
I am locked out of my account.,lockout
How do I update my billing info for company 7691?,billing
It would be great if we could have a dark mode.,feature
I cannot reset my password for company 5223.,lockout
It would be great if we could have a dark mode.,feature
My 2FA is not working.,lockout
It would be great if we could have a dark mode.,feature
Can you implement an integration with Teams?,feature
Data is not loading on the analytics widget.,bug
Please add a user management to the platform.,feature
Please add a API to the platform.,feature
There is an unexpected charge of $49.99 on my invoice.,billing
My 2FA is not working.,lockout
Cancel my subscription immediately.,billing
My 2FA is not working.,lockout
I want to request a new analytics for our team.,feature
Data is not loading on the API widget.,bug
There is an unexpected charge of $250 on my invoice.,billing
Cancel my subscription immediately.,billing
It would be great if we could have a dark mode.,feature
How do I update my billing info for company 4826?,billing
My credit card was charged $10 twice.,billing
Cancel my subscription immediately.,billing
I am locked out of my account.,lockout
The dashboard is completely broken.,bug
Please add a user management to the platform.,feature
Please unlock user 331.,lockout
Cancel my subscription immediately.,billing
There is an unexpected charge of $100 on my invoice.,billing
I need a refund for my subscription.,billing
I need a refund for my subscription.,billing
My credit card was charged $250 twice.,billing
Please add a reports to the platform.,feature
There is an unexpected charge of $10 on my invoice.,billing
I am getting a timeout error on the user management page.,bug
I am locked out of my account.,lockout
I am locked out of my account.,lockout
There is an unexpected charge of $10 on my invoice.,billing
Please unlock user 925.,lockout
The dashboard is completely broken.,bug
I need a refund for my subscription.,billing
I want to request a new API for our team.,feature
My credit card was charged $100 twice.,billing
Please unlock user 599.,lockout
I cannot reset my password for company 9582.,lockout
How do I update my billing info for company 3471?,billing
It would be great if we could have a dark mode.,feature
Data is not loading on the reports widget.,bug
How do I update my billing info for company 5497?,billing
"Every time I click save, it throws a 404 error.",bug
Company 2680 is experiencing severe latency on user management.,bug
Company 1086 is experiencing severe latency on API.,bug
I want to request a new user management for our team.,feature
Data is not loading on the user management widget.,bug
How do I update my billing info for company 3492?,billing
The dashboard is completely broken.,bug
Please add a analytics to the platform.,feature
Can you implement an integration with Salesforce?,feature
I cannot reset my password for company 5053.,lockout
Is there a way to export data to Jira?,feature
Cancel my subscription immediately.,billing
Can you implement an integration with Teams?,feature
Cancel my subscription immediately.,billing
The dashboard is completely broken.,bug
My credit card was charged $100 twice.,billing
"Every time I click save, it throws a 403 error.",bug
I want to request a new user management for our team.,feature
I forgot my password and the reset link is expired.,lockout
The dashboard is completely broken.,bug
The dashboard is completely broken.,bug
Can you implement an integration with Teams?,feature
I am getting a 500 error on the API page.,bug
How do I update my billing info for company 1117?,billing
I cannot reset my password for company 3381.,lockout
I am getting a timeout error on the API page.,bug
Company 5040 is experiencing severe latency on user management.,bug
I need a refund for my subscription.,billing
Data is not loading on the analytics widget.,bug
Please unlock user 905.,lockout
I forgot my password and the reset link is expired.,lockout
Is there a way to export data to Slack?,feature
Data is not loading on the analytics widget.,bug
Company 3587 is experiencing severe latency on analytics.,bug
My credit card was charged $100 twice.,billing
Is there a way to export data to Slack?,feature
Please unlock user 290.,lockout
I need a refund for my subscription.,billing
How do I update my billing info for company 7211?,billing
I want to request a new analytics for our team.,feature
I am getting a 404 error on the API page.,bug
I want to request a new API for our team.,feature
How do I update my billing info for company 1861?,billing
Please add a user management to the platform.,feature
Please add a user management to the platform.,feature
I am getting a 500 error on the reports page.,bug
Can you implement an integration with Jira?,feature
Can you implement an integration with Teams?,feature
Company 9683 is experiencing severe latency on API.,bug
"Every time I click save, it throws a 403 error.",bug
Can you implement an integration with Jira?,feature
Is there a way to export data to Jira?,feature
My credit card was charged $100 twice.,billing
I am locked out of my account.,lockout
"Every time I click save, it throws a timeout error.",bug
I need a refund for my subscription.,billing
Company 3053 is experiencing severe latency on analytics.,bug
It would be great if we could have a dark mode.,feature
I cannot reset my password for company 6254.,lockout
I need a refund for my subscription.,billing
My 2FA is not working.,lockout
It would be great if we could have a dark mode.,feature
How do I update my billing info for company 6582?,billing
How do I update my billing info for company 8679?,billing
"Every time I click save, it throws a 500 error.",bug
I need a refund for my subscription.,billing
I want to request a new analytics for our team.,feature
How do I update my billing info for company 2729?,billing
Is there a way to export data to Jira?,feature
