text,label
I need a refund for my subscription.,billing
Data is not loading on the API widget.,bug
It would be great if we could have a dark mode.,feature
Can you implement an integration with Teams?,feature
Company 1505 is experiencing severe latency on analytics.,bug
My 2FA is not working.,lockout
I am locked out of my account.,lockout
Please unlock user 629.,lockout
Company 6850 is experiencing severe latency on analytics.,bug
Cancel my subscription immediately.,billing
Can you implement an integration with Salesforce?,feature
Please add a user management to the platform.,feature
My 2FA is not working.,lockout
Please add a API to the platform.,feature
My 2FA is not working.,lockout
I forgot my password and the reset link is expired.,lockout
"Every time I click save, it throws a 403 error.",bug
How do I update my billing info for company 3677?,billing
I forgot my password and the reset link is expired.,lockout
There is an unexpected charge of $100 on my invoice.,billing
The dashboard is completely broken.,bug
"Every time I click save, it throws a timeout error.",bug
"Every time I click save, it throws a timeout error.",bug
The dashboard is completely broken.,bug
It would be great if we could have a dark mode.,feature
There is an unexpected charge of $49.99 on my invoice.,billing
My credit card was charged $49.99 twice.,billing
My credit card was charged $10 twice.,billing
My 2FA is not working.,lockout
I cannot reset my password for company 8836.,lockout
Please add a user management to the platform.,feature
I am locked out of my account.,lockout
It would be great if we could have a dark mode.,feature
I am locked out of my account.,lockout
I forgot my password and the reset link is expired.,lockout
I cannot reset my password for company 3369.,lockout
There is an unexpected charge of $10 on my invoice.,billing
There is an unexpected charge of $100 on my invoice.,billing
The dashboard is completely broken.,bug
Data is not loading on the user management widget.,bug
There is an unexpected charge of $100 on my invoice.,billing
I am locked out of my account.,lockout
Data is not loading on the user management widget.,bug
I want to request a new API for our team.,feature
I cannot reset my password for company 8359.,lockout
I cannot reset my password for company 6878.,lockout
The dashboard is completely broken.,bug
"Every time I click save, it throws a 404 error.",bug
My credit card was charged $10 twice.,billing
The dashboard is completely broken.,bug
I cannot reset my password for company 6614.,lockout
Please add a analytics to the platform.,feature
The dashboard is completely broken.,bug
My 2FA is not working.,lockout
Please add a user management to the platform.,feature
Company 3267 is experiencing severe latency on reports.,bug
There is an unexpected charge of $10 on my invoice.,billing
I am locked out of my account.,lockout
There is an unexpected charge of $10 on my invoice.,billing
I forgot my password and the reset link is expired.,lockout
The dashboard is completely broken.,bug
I am getting a 403 error on the reports page.,bug
Please unlock user 289.,lockout
There is an unexpected charge of $49.99 on my invoice.,billing
I want to request a new analytics for our team.,feature
I want to request a new analytics for our team.,feature
How do I update my billing info for company 2099?,billing
Data is not loading on the reports widget.,bug
I want to request a new analytics for our team.,feature
Company 3053 is experiencing severe latency on analytics.,bug
It would be great if we could have a dark mode.,feature
I am locked out of my account.,lockout
Please unlock user 441.,lockout
The dashboard is completely broken.,bug
I need a refund for my subscription.,billing
"Every time I click save, it throws a timeout error.",bug
I cannot reset my password for company 1448.,lockout
My 2FA is not working.,lockout
I cannot reset my password for company 9732.,lockout
